iter	Passed	Remaining
0	1	155
1	2	139
2	4	134
3	5	131
4	6	128
5	8	127
6	9	125
7	10	124
8	12	123
9	13	123
10	15	122
11	16	121
12	17	120
13	19	118
14	20	116
15	21	115
16	23	114
17	24	112
18	26	111
19	27	109
20	28	108
21	30	107
22	31	106
23	33	104
24	34	103
25	35	102
26	37	100
27	38	99
28	39	97
29	41	96
30	42	94
31	43	93
32	45	92
33	47	91
34	48	90
35	49	88
36	51	87
37	52	86
38	54	84
39	55	83
40	56	81
41	58	80
42	59	78
43	60	77
44	62	76
45	63	75
46	65	73
47	66	72
48	68	70
49	69	69
50	70	67
51	72	66
52	73	65
53	74	63
54	76	62
55	77	61
56	79	59
57	80	58
58	82	57
59	84	56
60	85	54
61	87	53
62	88	52
63	90	50
64	92	49
65	94	48
66	95	47
67	97	45
68	99	44
69	100	43
70	102	41
71	103	40
72	105	39
73	107	37
74	109	36
75	111	35
76	112	33
77	114	32
78	116	30
79	117	29
80	119	28
81	121	26
82	123	25
83	125	23
84	126	22
85	128	20
86	130	19
87	131	17
88	133	16
89	135	15
90	137	13
91	138	12
92	142	10
93	144	9
94	145	7
95	147	6
96	148	4
97	150	3
98	152	1
99	153	0
